date,eclipse_type,magnitude,duration,region
04-08-2024,Total,1.057,04m28s,"N. America, C. America [Total: Mexico, c US, e Canada]"
10-02-2024,Annular,0.933,07m25s,"Pacific, s S. America [Annular: s Chile, s Argentina]"
03-29-2025,Partial,0.938,,"nw Africa, Europe, n Russia"
09-21-2025,Partial,0.855,,"s Pacific, N.Z., Antarctica"
02-17-2026,Annular,0.963,02m20s,"s Argentina & Chile, s Africa, Antarctica [Annular: Antarctica]"
08-12-2026,Total,1.039,02m18s,"n N. America, w Africa, Europe [Total: Arctic, Greenland, Iceland, Spain]"
02-06-2027,Annular,0.928,07m51s,"S. America, Antarctica, w & s Africa [Annular: Chile, Argentina, Atlantic]"
08-02-2027,Total,1.079,06m23s,"Africa, Europe, Mid East, w & s Asia [Total:Morocco, Spain, Algeria, Libya, Egypt, Saudi Arabia, Yemen, Somalia]"
01-26-2028,Annular,0.921,10m27s,"e N. America, C. & S. America, w Europe, nw Africa [Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal]"
07-22-2028,Total,1.056,05m10s,"SE Asia, E. Indies, Australia, N.Z. [Total: Australia, N. Z.]"
01-14-2029,Partial,0.871,,"N. America, C. America"
06-12-2029,Partial,0.458,,"Arctic, Scandanavia, Alaska, n Asia, n Canada"
07-11-2029,Partial,0.23,,"s Chile, s Argentina"
12-05-2029,Partial,0.891,,"s Argentina, s Chile, Antarctica"
06-01-2030,Annular,0.944,05m21s,"Europe, n Africa, Mid East, Asia, Arctic, Alaska [Annular: Algeria, Tunisia, Greece, Turkey, Russia, n. China, Japan]"
11-25-2030,Total,1.047,03m44s,"s Africa, s Indian Oc., E. Indies, Australia, Antarctica [Total: Botswana, S. Africa, Australia]"
05-21-2031,Annular,0.959,05m26s,"Africa, s Asia, E. Indies, Australia [Annular: Angola, Congo, Zambia, Tanzania, s. India, Malaysia, Indonesia]"
11-14-2031,Hybrid,1.011,01m08s,"Pacific, s US, C. America, nw S. America [Hybrid: Pacific, Panama]"
05-09-2032,Annular,0.996,00m22s,"s S. America, s Africa [Annular: s Atlantic]"
11-03-2032,Partial,0.855,,Asia
03-30-2033,Total,1.046,02m37s,"N. America [Total: e Russia, Alaska]"
09-23-2033,Partial,0.689,,"s S. America, Antarctica"
03-20-2034,Total,1.046,04m09s,"Africa, Europe, w Asia [Total: Nigeria, Cameroon, Chad, Sudan, Egypt, Saudi Arabia, Iran, Afghanistan, Pakistan, India, China]"
09-12-2034,Annular,0.974,02m58s,"C. America, S. America [Annular: Chile, Bolivia, Argentina, Paraguay, Brazil]"
03-09-2035,Annular,0.992,00m48s,"Australia, New Zealand, s Pacific, Mexico, Antarctica [Annular: New Zealand, Pacific]"
09-02-2035,Total,1.032,02m54s,"e Asia, Pacific [Total: China, Korea, Japan, Pacific]"
02-27-2036,Partial,0.629,,"Antarctica, s Australia, New Zealand"
07-23-2036,Partial,0.199,,s Atlantic
08-21-2036,Partial,0.862,,"Alaska, Canada, Arctic, w Europe, nw Africa"
01-16-2037,Partial,0.705,,"n Africa, Europe, Mid East, w Asia"
07-13-2037,Total,1.041,03m58s,"E. Indies, Australia, Pacific [Total: Australia, New Zealand]"
01-05-2038,Annular,0.973,03m18s,"e N. America, n S. America, Atlantic, Africa, Europe [Annular: Cuba, Dom.Rep., Cote d'Ivoire, Ghana, Niger, Chad, Egypt]"
07-02-2038,Annular,0.991,01m00s,"N. & C. America, S. America, Africa, Europe, Mid East [Annular: Colombia, Venezuela, Mauritania, Morocco, Mali, Niger, Chad, Sudan, Ethiopia, Kenya]"
12-26-2038,Total,1.027,02m18s,"se Asia, E. Indies, Australia, New Zealand, s Pacific, Antarctica [Total: Australia, New Zealand, s Pacific]"
06-21-2039,Annular,0.945,04m05s,"N. America, w Europe [Annular: Alaska, n Canada, Norway, Sweden, Finland, Estonia, Russia]"
12-15-2039,Total,1.036,01m51s,"s S. America, Antarctica [Total: Antarctica]"
05-11-2040,Partial,0.531,,"Australia, N.Z., Antarctica"
11-04-2040,Partial,0.807,,N. & C. America
04-30-2041,Total,1.019,01m51s,"Brazil, Africa, Mid East [Total: Angola, Congo, Uganda, Kenya, Somalia]"
10-25-2041,Annular,0.947,06m07s,"e Asia, Pacific [Annular: Mongolia, China, Korea, Japan, Pacific]"
04-20-2042,Total,1.061,04m51s,"e Asia, se Asia, Australia, Pacific [Total: Malaysia, Indondesia, Philippines, n Pacific]"
10-14-2042,Annular,0.93,07m44s,"se Asia, E. Indies, Australia, , s Pacific, Antarctica [Annular: Thailand, Malaysia, Indonesia, Australia, New Zealand]"
02-28-2044,Annular,0.96,02m27s,"Antarctica, S. America [Annular: s Atlantic]"
08-23-2044,Total,1.036,02m04s,"n Asia, w N. America, Greenland [Total: Greenland, n Canada, Montana, N. Dakota]"
02-16-2045,Annular,0.928,07m47s,"Australia, New Zealand, Pacific, Hawaii [Annular: New Zealand, Pacific]"
08-12-2045,Total,1.077,06m06s,"N. & C. America, S. America, w Africa [Total: s US, Haiti, Dominican Rep., Venezuela, Guyana, Fr. Guyana, Suriname, Brazil]"
02-05-2046,Annular,0.923,09m42s,"Australia, Papua New Guinea, w US [Annular: Papua New Guinea, Hawaii, California, Oregon, Idaho]"
08-02-2046,Total,1.053,04m51s,"Brazil, Africa [Total: Brazil, Angola, e Namibia, Botswana, S. Africa, Swaziland, s Mozambique]"
01-26-2047,Partial,0.891,,"e Asia, Alaska"
06-23-2047,Partial,0.313,,"n Canada, Greenland, ne Asia"
07-22-2047,Partial,0.361,,"se Australia, New Zealand"
12-16-2047,Partial,0.882,,"Antarctica, s Chile, s Argentina"
06-11-2048,Annular,0.944,04m58s,"N. America, Caribbean, n Africa, Europe, w Asia [Annular: midwest US, Quebec, Ontario, Greenland, Iceland, Norway, Sweden, Russia, Afganistan]"
12-05-2048,Total,1.044,03m28s,"s S. America, sw Africa [Total: Chile, Argentina, Namibia, Botswana]"
05-31-2049,Annular,0.963,04m45s,"se US, C. America, S. America, Africa, s Europe [Annular: Peru, Ecuador, Colombia, Venezuela, Guyana, Senegal, Mali, Burkina Faso, Ghana, Nigeria]"
11-25-2049,Hybrid,1.006,00m38s,"e Africa, s Asia, East Indies, Australia [Hybrid: Saudi Arabia, Yemen, Malaysia, Indonesia]"
05-20-2050,Hybrid,1.004,00m21s,"N.Z., s Pacific, sw S. America [Hybrid: s Pacific]"
11-14-2050,Partial,0.887,,"ne US, e Canada, n Africa, Europe"
04-11-2051,Partial,0.985,,"Asia, Alaska, Canada, Greenland"
10-04-2051,Partial,0.602,,"Antarctica, Australia, New Zealand"
03-30-2052,Total,1.047,04m08s,"N. America, C. America, n S. America [Total: Central Pacific, Mexico, U.S., Central Atlantic]"
09-22-2052,Annular,0.973,02m51s,"Australia, N.Z., Antarctica, w Indies [Annular: Australia, South Pacific]"
03-20-2053,Annular,0.992,00m50s,"Africa, Indies, Australia, Antarctica [Annular: Central Indian, Indonesia]"
09-12-2053,Total,1.033,03m04s,"Greenland, Africa, Europe, Asia [Total: Morocco, Algeria, Tunisia, Libya, Egypt. Saudi Arabia, Indonesia]"
03-09-2054,Partial,0.668,,"Antarctica, South Africa, Madagascar, Chile"
08-03-2054,Partial,0.066,,Antarctica
09-02-2054,Partial,0.979,,"Asia, U.S., Canada, Greenland"
01-27-2055,Partial,0.693,,"Canada, U.S., Mexico, Cuba"
07-24-2055,Total,1.036,03m17s,"Africa, Antarctica [Total: South Africa]"
01-16-2056,Annular,0.976,02m52s,"N.Z., Central Pacific, Western North America [Annular: Central Pacific, Mexico]"
07-12-2056,Annular,0.988,01m26s,"s N. America, C. America, n S. America [Annular: Central Pacific, Colombia, Ecuador, Peru, Brazil]"
01-05-2057,Total,1.029,02m29s,"Africa, Antarctica, Australia [Total: Southern Atlantic, Southern Indian]"
07-01-2057,Annular,0.946,04m22s,"Asia, North America [Annular: China, Mongolia, Russia, Canada, U.S.]"
12-26-2057,Total,1.035,01m50s,"Antarctica, Australia [Total: Antarctica]"
05-22-2058,Partial,0.414,,"South Africa, Madagascar"
06-21-2058,Partial,0.126,,"Russia, Greenland, Norway, Sweden, Finland"
11-16-2058,Partial,0.764,,"Russia, China, Mongolia, Japan"
05-11-2059,Total,1.024,02m23s,"N. America, C. America, S. America [Total: Central Pacific, Ecuador, Peru, Brazil]"
11-05-2059,Annular,0.942,07m00s,"Africa, Europe, Asia [Annular: France, Libya, Egypt, Sudan, Ethiopia, Eritrea, Somalia, Indonesia]"
04-30-2060,Total,1.066,05m15s,"Africa, Asia [Total: Ivory Coast, Ghana, Togo, Benin, Nigeria, Niger, Chad, Libya, Egypt, Turkey, Kazakhstan, Russia]"
10-24-2060,Annular,0.928,08m06s,"Africa, Antarctica, S. America [Annular: Guinea, Sierra Leone, Liberia, Ivory Coast, Angola, Nambia, Botswana, South Africa]"
04-20-2061,Total,1.048,02m37s,"Asia. Middle East, N. America [Total: Kazakhstan, Russia]"
10-13-2061,Annular,0.947,03m41s,"Antarctica, S. America [Annular: Antarctica, Argentina, Chile]"
03-11-2062,Partial,0.933,,"Antarctica, Australia, New Zealand"
09-03-2062,Partial,0.975,,"Greenland, Europe, Asia"
02-28-2063,Annular,0.929,07m41s,"Africa, Indies, se Asia, Antarctica, Australia [Annular: Indian Ocean, Indonesia, Malaysia]"
08-24-2063,Total,1.075,05m49s,"Asia, Central Pacific [Total: China, Mongolia, Japan, Central Pacific]"
02-17-2064,Annular,0.926,08m56s,"Africa, Asia [Annular: Zaire, Zambia, Tanzania, India, Nepal, Bangladesh, Bhutan, China]"
08-12-2064,Total,1.049,04m28s,"Americas, Antarctica [Total: Central Pacific, Chile, Argentina]"
02-05-2065,Partial,0.912,,"North Africa, Europe, West Asia"
07-03-2065,Partial,0.164,,"Northern Europe, Russia"
08-02-2065,Partial,0.49,,"Antarctica, South Africa, Madagascar"
12-27-2065,Partial,0.877,,"Chile Argentina, Antarctica, Australia"
06-22-2066,Annular,0.943,04m40s,"N. America, n Europe, n Asia [Annular: Russia, Alaska, Canada]"
12-17-2066,Total,1.042,03m14s,"Australia, Antarctica, N.Z. [Total: Australia, New Zealand, South Pacific]"
06-11-2067,Annular,0.967,04m05s,"Americas [Annular: Central Pacific, Ecuador, Peru]"
12-06-2067,Hybrid,1.001,00m08s,"Americas, Africa, s Europe [Hybrid: Honduras, Nicaragua, Colombia, Venezuela, Guyana, Brazil, Nigeria, Cameroon, Chad, Sudan]"
05-31-2068,Total,1.011,01m06s,"Indies, Australia, Antarctica [Total: Australia, New Zealand]"
11-24-2068,Partial,0.911,,"North America, Russia"
04-21-2069,Partial,0.899,,"Europe, Asia, n Africa, N. America"
05-20-2069,Partial,0.088,,"South America, Antarctica"
10-15-2069,Partial,0.53,,Antarctica
04-11-2070,Total,1.047,04m04s,"Asia, Indies, Alaska, Canada [Total: Sri Lanka, Myanmar, Thailand, Laos, Vietnam, Philippines]"
10-04-2070,Annular,0.973,02m44s,"Africa, Antarctica, Australia [Annular: Angola, Zambia, Zimbabwe, Mozambique, Madagascar]"
03-31-2071,Annular,0.992,00m52s,"S. America, Africa, Antarctica [Annular: Chile, Argentina, Paraguay, Brazil, Congo, Zaire]"
09-23-2071,Total,1.033,03m11s,"Americas, Africa [Total: Mexico, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil]"
03-19-2072,Partial,0.72,,"Antarctica, S. America"
09-12-2072,Total,1.056,03m13s,"Greenland, Europe, Asia [Total: Russia]"
02-07-2073,Partial,0.677,,"Asia, Alaska"
08-03-2073,Total,1.029,02m29s,"S. America, Antarctica [Total: Chile, Argentina]"
01-27-2074,Annular,0.98,02m21s,"Africa, Asia, Indies [Annular: Sudan, Ethiopia, Somalia, Sri Lanka, Myanmar, Thailand, Laos, Vietnam, China, Japan]"
07-24-2074,Annular,0.984,01m57s,"Asia, Indies, Australia, N.Z. [Annular: Thailand, Cambodia, Vietnam, Philippines]"
01-16-2075,Total,1.031,02m42s,"N.Z., S. America, Antarctica [Total: Chile, Argentina, Paraguay, Brazil]"
07-13-2075,Annular,0.947,04m45s,"Europe, Asia, Africa, n N. America [Annular: s Europe, Russia]"
01-06-2076,Total,1.034,01m49s,"Antarctica, Australia, S. America [Total: Antarctica]"
06-01-2076,Partial,0.29,,"S. America, Antarctica"
07-01-2076,Partial,0.275,,"Russia, N. America"
11-26-2076,Partial,0.731,,"Africa, Europe, w Asia"
05-22-2077,Total,1.029,02m54s,"Indies, Australia, N.Z., Antarctica [Total: Australia]"
11-15-2077,Annular,0.937,07m54s,"Americas [Annular: U.S., Carribean, Colombia, Venezuela, Brazil, Guyana, Suriname, French Guiana]"
05-11-2078,Total,1.07,05m40s,"Americas [Total: Mexico, U.S.]"
11-04-2078,Annular,0.926,08m29s,"Americas, Antarctica [Annular: Chile, Argentina]"
05-01-2079,Total,1.051,02m55s,"w Americas, Europe, Africa, Asia [Total: U.S., Canada, Greenland]"
10-24-2079,Annular,0.948,03m39s,"Antarctica, N.Z., S. America [Annular: Antarctica, New Zealand]"
03-21-2080,Partial,0.873,,"Antarctica, Africa"
09-13-2080,Partial,0.874,,"N. America, Europe, Africa"
03-10-2081,Annular,0.93,07m36s,"S. America, Africa, Antarctica [Annular: Chile, Argentina, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon]"
09-03-2081,Total,1.072,05m33s,"Africa, Europe, Asia [Total: Central Europe, Turkey, Syria, Iraq, Kuwait, Quatar, UAE, Saudi Arabia, Oman]"
02-27-2082,Annular,0.93,08m12s,"Americas, Europe, Africa [Annular: Peru, Brazil, Suriname, French Guiana, Portugal, Spain, France, Italy, Germany, Austria]"
08-24-2082,Total,1.045,04m01s,"Indies, Australia, Antarctica, N.Z. [Total: Indonesia, New Guinea, South Pacific]"
02-16-2083,Partial,0.943,,"Mexico, U.S, Canada"
07-15-2083,Partial,0.017,,Greenland
08-13-2083,Partial,0.615,,"S. America, Antarctica"
01-07-2084,Partial,0.872,,"Antarctica, S. America"
07-03-2084,Annular,0.942,04m25s,"n Europe, Asia, N. America [Annular: Russia, U.S., Canada]"
12-27-2084,Total,1.04,03m04s,"Africa, Antarctica, Australia [Total: South Atlantic and Indian Ocean]"
06-22-2085,Annular,0.97,03m29s,"Asia, Indies, Australia [Annular: India, Myanmar, China, Central Pacific]"
12-16-2085,Annular,0.997,00m19s,"Australia, N. America [Annular: Central Pacific]"
06-11-2086,Total,1.017,01m48s,"S. America, Africa [Total: Nambia, Botswana, South Africa]"
12-06-2086,Partial,0.927,,Asia
05-02-2087,Partial,0.801,,"n Europe, n Asia, N. America"
06-01-2087,Partial,0.215,,New Zealand
10-26-2087,Partial,0.47,,"S. America, Antarctica"
04-21-2088,Total,1.047,03m58s,"N. America, Africa, Europe, Asia [Total: Mauritania, Western Sahara, Mali, Algeria, Tunisia, Greece, Turkey, Russia, Kazakhstan, China]"
10-14-2088,Annular,0.973,02m38s,"S. America, Antarctica, Africa [Annular: Chile, Argentina]"
04-10-2089,Annular,0.992,00m53s,"Australia, Antarctica, N. America [Annular: Australia, Central Pacific]"
10-04-2089,Total,1.033,03m14s,"Asia, Indies, Australia [Total: China, Central Pacific]"
03-31-2090,Partial,0.784,,"Antarctica, Australia, N.Z."
09-23-2090,Total,1.056,03m36s,"N. America, Europe, Africa, n Asia [Total: Canada, Greenland, U.K., France]"
02-18-2091,Partial,0.656,,"North Africa, Europe, Asia"
08-15-2091,Total,1.022,01m38s,"Australia, Antarctica, N.Z. [Total: Southern Ocean (near Antarctica)]"
02-07-2092,Annular,0.984,01m48s,"Americas, Europe, Africa [Annular: Panama, Colombia, Venezuela, Guyana, Morocco, Algeria]"
08-03-2092,Annular,0.979,02m31s,"Africa [Annular: Liberia, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, CAR, Sudan, Kenya, Somalia]"
01-27-2093,Total,1.034,02m58s,"Indies, Australia, Antarctica, N.Z. [Total: Australia]"
07-23-2093,Annular,0.946,05m11s,"Americas, Europe, Africa, Asia [Annular: U.S., Canada, Central Europe, Turkey, Iraq, Iran, Afghanistan, Pakistan]"
01-16-2094,Total,1.034,01m52s,"S. America, Antarctica, N.Z. [Total: Antarctica]"
06-13-2094,Partial,0.162,,Southern Ocean (near Antarctica)
07-12-2094,Partial,0.422,,"North America, Asia"
12-07-2094,Partial,0.705,,North America
06-02-2095,Total,1.033,03m18s,"Africa [Total: Nambia, South Africa, Botswana, Zambia, Mozambique, Madagascar]"
11-27-2095,Annular,0.933,08m47s,"Asia, Indies, Australia [Annular: China, Korea, Japan, Central Pacific]"
05-22-2096,Total,1.074,06m06s,"Asia, Indies, Australia, N. America [Total: Indonesia, Central Pacific]"
11-15-2096,Annular,0.924,08m53s,"Indies, Australia, N.Z., Antarctica [Annular: Malaysia, Indonesia, New Guinea, Australia, New Zealand]"
05-11-2097,Total,1.054,03m10s,"Asia, N. America, n Europe [Total: Alaska, Russia]"
11-04-2097,Annular,0.949,03m36s,"Antarctica, Australia [Annular: Antarctica]"
04-01-2098,Partial,0.798,,"Antarctica, South America"
09-25-2098,Partial,0.787,,"Asia, North America"
10-24-2098,Partial,0.006,,Southern Ocean (near Antarctica)
03-21-2099,Annular,0.932,07m32s,"Australia, N.Z., Antarctica, N. America [Annular: Central Pacific]"
09-14-2099,Total,1.068,05m18s,"Americas, Africa [Total: Canada, U.S., Central Atlantic]"
03-10-2100,Annular,0.934,07m29s,"Australia, N. America [Annular: Central Pacific, U.S.]"
09-04-2100,Total,1.04,03m32s,"Africa, Antarctica [Total: Central Africa, Madagascar]"
